Sao,Loại sao,Ngũ hành,Chủ đạo,Hợp,Kỵ,Ghi chú
Thất Sát,Chính tinh,"Nam Đẩu, Âm Kim, Hỏa","Chủ về quyền uy.

Xấu thì chủ về gay go, kịch liệt","Tử Vi

Các cung Tý, Ngọ, Mão, Dậu, Dần, Thân, Tỵ, Hợi, Sửu, Mùi.","Cung Thìn, Tuất

Các sao hung",
Liêm Trinh,Chính tinh,"Thuộc Bắc Đẩu, Âm Mộc, Hỏa.","Bản chất là một sao đào hoa, cát thì phong nhã, hung thì rất tàn ác.","Các sao cát, phù hợp nhất với Thiên Phủ và Thiên Tướng, thích đóng tại Dần, Thân.","Các sao hung, kị nhất là gặp Tham Lang, Phá Quân.

Không hợp ở các cung Tý, Ngọ, Mão, Dậu hay Tỵ, Hợi.",
Tham Lang,Chính tinh,"Bắc Đẩu, Dương Mộc.","Đào hoa, chủ họa phúc.

Tốt thì chủ về thực tế, hung chủ về đa dục","Các sao cát, Hình, Không

Cung Mộ
Cung Tý, Ngọ, Mão, Dậu, Thìn, Tuất, Sửu, Mùi.","Các sao hung, nhất là Liêm Trinh, Mộc Dục

Cung Tỵ, Hợi",
Phá Quân,Chính tinh,"Thuộc Bắc Đẩu, Âm Thủy","Chủ họa phúc

Tốt thì cương nghị, xấu thì hao tán","Tử Vi

Cung Thìn, Tuất, Sửu, Mùi, Tỵ, Hợi.","Cung Tý, Ngọ, Mão, Dậu.",
Văn Xương,Phụ tá diệu,"Nam Đẩu, Dương Kim","Giỏi văn

Cát chủ về cao thượng, thanh nhã
Hung chủ thích son phấn, trang điểm","Cung Thìn, Tỵ, Dậu, Sửu","Cung Dần, Ngọ, Tuất",
Văn Khúc,Phụ tá diệu,"Thuộc Bắc Đẩu, Âm Thủy","Giỏi biện luận

Cát thì giỏi về nói năng, hung chủ giỏi che giấu, nguỵ biện.","Cung Thìn, Tỵ, Dậu, Sửu","Cung Dần, Ngọ, Tuất",
Tả Phụ,Phụ tá diệu,"Sao của Trung Thiên, Dương Thổ","Trợ lực, thi hành mệnh lệnh

Cát chủ về giúp người, hung chủ xâm phạm","Các sao cát

Tất cả các cung đều cát, trừ Mão, Dậu","Mão, Dậu",
Hữu Bật,Phụ tá diệu,"Sao của Trung Thiên, Âm Thủy","Trợ lực, quản mệnh lệnh

Hung chủ giành giật","Các sao cát

Tất cả các cung đều cát, trừ Mão, Dậu","Mão, Dậu",
Thiên Khôi,Phụ tá diệu,"Thuộc Nam Đẩu, Dương Hỏa","Tài danh

Cát chủ được trợ giúp, hung thì gặp trở ngại.","Các sao cát, các cung đều đẹp",Các sao hung,
Thiên Việt,Phụ tá diệu,"Nam Đẩu, Âm Hỏa","Cát chủ về được giúp đỡ, hung thì phiền não.","Các sao cát, người sinh vào ban đêm.",Các sao hung,
Lộc Tồn,Phụ tá diệu,"Thuộc Bắc Đẩu, Âm Thổ","Chủ tài lộc, tốt đẹp chủ về tài lộc, hung chủ bệnh tật.","Hợp Thiên Mã, ở cung Tý, Ngọ, Mão, Dậu, Dần, Thân, Tỵ, Hợi","Không Vong, cung Tử Mộ",
Thiên Mã,Phụ tá diệu,Dương Hỏa,"Chủ di chuyển, quản lộc, những sự biến đổi.","Các sao cát, nhất là Lộc Tồn và cung sinh vượng.","Các sao hung, nhất là Không Vong và ở cung Bệnh, Tử, Tuyệt.",
Địa Không,Sát tinh,"Sao của Trung Thiên, Âm Hỏa","Tai họa, sáng thì chủ về độ lượng.","Hợp với các sao hành Kim, Hỏa.","Kỵ các sao hung, trừ Hỏa Linh.",
Địa Kiếp,Sát tinh,"Sao của Trung Thiên, Dương Hỏa","Phá tán, thất bại.","Hợp ở các cung Thìn, Tuất.",Các sao hung,
Kình Dương,Sát tinh,"Bắc Đẩu, Dương Kim",Hình thương. Tốt đẹp thì quyền uy.,"Các sao cát, ở các cung Tứ Mộ","Các sao hung và ở cung Tý, Ngọ, Mão, Dậu.",
Đà La,Sát tinh,"Bắc Đẩu, Âm Kim","Trì hoãn, kéo dài. Tốt đẹp chủ về ngầm quyền lực, hung thì ngầm chịu chèn ép.","Các sao cát, hợp ở các cung Thìn, Tuất, Sửu, Mùi.","Kỵ ở Dần, Thân, Tỵ, Hợi.",
Hỏa Tinh,Sát tinh,"Nam Đẩu, Dương Hỏa","Nóng tính, cát chủ về tài năng, hung thì gặp nhiều tai .","Các sao cát, người sinh năm Dần, Mão, Tỵ, Ngọ, Tuất.","Các sao hung, ở các cung Thân, Tý, Thìn.",
Linh Tinh,Sát tinh,"Nam Đẩu, Âm Hỏa","Nóng tính, cứng cỏi. Cát chủ ngầm phát phúc, hung thì dễ bị xâm hại.","Các sao cát, người sinh năm Dần, Mão, Tỵ, Ngọ, Tuất.","Các sao hung, ở các cung Thân, Tý, Thìn.",
Hóa Lộc,Tứ Hóa,"Sao của Trung Thiên, Âm Thổ","Chủ tài lộc, tiền của","Các sao cát, ưa nhất là Lộc Tồn, Thiên Mã, hợp ở cung Dần Thân.","Địa Không, Địa Kiếp, không kỵ các sao hung.

Không hợp ở các cung Tý, Ngọ, Mão, Dậu.",
Hóa Quyền,Tứ Hóa,"Sao của Trung Thiên, Âm Mộc","Chủ quyền thế, địa vị","Các sao cát, hợp nhất với Cự Môn, Vũ Khúc, ở cung Sửu","Không kỵ sao hung, ở ngoài ba cung Sửu, Mão, Tuất thì ngại Tứ Sát.",
Hóa Khoa,Tứ Hóa,"Sao của Trung Thiên, Dương Thủy","Chủ về thanh danh, thi cử, phước lành","Thiên Khôi, Thiên Việt, ba cung Sửu, Ngọ, Thân.",Không Kiếp và Nhật Nguyệt hãm.,
Hóa Kỵ,Tứ Hóa,"Sao của Trung Thiên, Dương Thủy","Chủ đố kỵ, thị phi, sự thầm lặng","Ưa mệnh thủy cục, người sinh năm Thân, Tý, Thìn. Hợp ở các cung Tý, Sửu.","Các sao hung

Kỵ mệnh hỏa cục và người sinh năm Dần, Ngọ, Tuất.",
